unique,paperID,year,full.ref,pubtype,ocean,ocean.reg,hemi,lat,long,depth,size,no.sites,notes.geo,yrstart,yrend,timespan,yrsdata,data.pattern,no.datapt,note.time,paper.gp,group,spp,comm.name,lifestage,trophic,range.sect,spp.type,other.attributes,fishing,no.spp,note.spp,obstype,detailobs,phen.type,phen.season,dist.type,dist.indice,dec.direct,dist.direct,dec.val,dec.unit,dec.source,dec.test,deg.direct,deg.val,deg.unit,deg.source,deg.test,note.bio,consistent with general expectation,consistent,cc.var,detailsccvar,cctest,other.ccvar,attribution,atrib.test,note.attrib,tempac,spatialac,alt.factor,prim.alt,note.cc,mechanism,cc.warm.global,Deeper_shallower
257,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Scophthalmus aquosus,Windowpane flounder,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,3.1,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
258,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Pseudopleuronectes americanus,Winter flounder-northern,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,3.9,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
259,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Urophycis chuss,Red hake_southern,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,4.1,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
260,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Limanda ferruginea,Yellowtail flounder_northern,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,4.4,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
261,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Non-bony fish,Taxa,Amblyraja radiata,Thorny skate,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,4.8,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
262,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Gadus morhua,Atlantic cod GOM,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,5,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
263,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Anarhichas lupus,Atlantic wolffish,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,5.1,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
264,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Zoarces americanus,Ocean pout,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,5.1,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
265,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Hippoglossoides platessoides,American plaice,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,5.3,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
266,1029,2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,Demersal Continental shelf Demersal/Benthic ,1000000,NA,NA,1968,2007,40,40,Continuous,NA,NA,Bony fish,Taxa,Brosme brosme,Cusk,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,30,NA,Distribution,mean depth,NA,NA,Mean/Median,Depth,Positive,NA,7.7,m,Given in manuscript or supplementary material,Yes statistically significant,NA,NA,NA,NA,NA,from table 3,,Consistent,Temperature,annual mean SST and mean bottom temperature,No but trend demonstrated,"AMO, NAO, relative biomass",Not tested,CCA,NA,NA,Areas / grouped,Authors discount other factors,Other,conisder fishing impacts in discussion and changes in abundance in analysis,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change,Deeper
