unique,paperID,year,full.ref,pubtype,ocean,ocean.reg,hemi,lat,long,depth,size,no.sites,notes.geo,yrstart,yrend,timespan,yrsdata,data.pattern,no.datapt,note.time,paper.gp,group,spp,comm.name,lifestage,trophic,range.sect,spp.type,other.attributes,fishing,no.spp,note.spp,obstype,detailobs,phen.type,phen.season,dist.type,dist.indice,dec.direct,dist.direct,dec.val,dec.unit,dec.source,dec.test,deg.direct,deg.val,deg.unit,deg.source,deg.test,note.bio,consistent with general expectation,consistent,cc.var,detailsccvar,cctest,other.ccvar,attribution,atrib.test,note.attrib,tempac,spatialac,alt.factor,prim.alt,note.cc,mechanism,cc.warm.global
36,1002,2010,"Francour, P., J.M. Cottalorda, M. Aubert, S. Bava, M. Colombey, P. Gilles, H. Kara, P. Lelong, L. Mangialajo, R. Miniconi and J-P. Quignard 2010 Recent occurrences of Opah, Lampris Guttatus (Actinopterygii, Lampriformes, Lampridae) in the Western Mediterr",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,43,6.06,Pelagic to 200m or over continental shelf (epipelagic) ,10000,NA,NA,1870,2009,140,18,Irregular,NA,NA,Non-bony fish,Taxa,Lampris guttatus,Opah,Multiple life stages - juvenile and older (not egg or larvae),"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Exploited,1,NA,Distribution,Establishment in Mediterranean,NA,NA,Range edge (popn/site),Range,Positive,NA,NA,NA,NA,Not tested,Positive,NA,NA,NA,Not tested,NA,,Consistent,Temperature,NA,Tested in another study,NA,Not tested,NA,NA,NA,NA,Not mentioned,NA,NA,Temperature limitation,Only discussed in relation to climate change (eg first observation records)
37,1003,2006,"Ahas, R. and A. Aasa 2006. The effects of climate change on the phenology of selected Estonian plant, bird and fish populations. International Journal of Biometeorology 51:17:26",Peer-reviewed journal,Baltic Sea,Semi-enclosed seas,Northern,58.2,24.3,Intertidal/Coastal/Estuarine,1000000,4,NA,1951,1998,48,25,Irregular,NA,NA,Bony fish,Taxa,Osmerus eperlanus,Smelt,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,2,NA,Phenology,Spawning ,Mean/Median,Spring,NA,NA,Negative,NA,-0.05,days,Calculated from manuscript or supplementary material,Not tested,Negative,-0.73,days,Calculated from manuscript or supplementary material,Not tested,NA,,Consistent,Temperature,Mean february air temperature,Yes statistically significant,NAO,Not tested,Correlation / regression,NA,Not considered,NA,Not mentioned,NA,NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
39,1006,1999,"Swaby, S.E. and G.W. Potts 1999. The sailfin dory, a first British record. Journal of Fish Biology 54: 1338-1340",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,49.67,-4.33,Demersal Continental slope Demersal/Benthic ,1000000,NA,NA,1966,1995,30,23,Irregular,23,NA,Bony fish,Taxa,Zenopsis conchifera,sailfin dory,Multiple life stages - juvenile and older (not egg or larvae),Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,NA,Not exploited,1,NA,Distribution,Expansion of recorded sightings,NA,NA,Range edge (popn/site),Range,Positive,1,536.07,km,Calculated from manuscript or supplementary material,Not tested,Positive,NA,NA,NA,Not tested,"Included as range edge, rather than first record because they have more information on previous range from fish market surveys.",,Consistent,Temperature,NA,Not tested,NA,Not tested,NA,NA,NA,NA,Not mentioned,NA,NA,Temperature limitation,Only discussed in relation to climate change (eg first observation records)
41,1007,2009,"Tsikliras, A.C. 2008. Climate-related geographic shift and sudden population increase of a small pelagic fish (Sardinella aurita) in the estern Mediterranean Sea. Marine Biology Research 4: 477-481",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,39.75,24.25,Pelagic to 200m or over continental shelf (epipelagic) ,100000,NA,NA,1982,2003,22,22,Continuous,NA,NA,Bony fish,Taxa,Sardinella aurita,Round sardinella,Multiple life stages - juvenile and older (not egg or larvae),Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,NA,Exploited,1,NA,Distribution,Expansion from catch data,NA,NA,Range edge (popn/site),Range,Positive,NA,NA,NA,NA,Not tested,Positive,NA,NA,NA,NA,NA,,Consistent,Temperature,Mean annual SST,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,Not considered,Areas / grouped,Authors discount other factors,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
42,1008,2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,Demersal Continental shelf Demersal/Benthic ,100000,100,study sites approx,1969,2008,40,40,Continuous,20000,Approx. estimate of data ponts,Bony fish,Taxa,Buglossidium luteum ,solenette,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Not exploited,2,NA,Abundance,Relative abundance in hauls,NA,NA,NA,NA,Positive,NA,NA,NA,NA,Not tested,Positive,NA,NA,NA,Not tested,see figs 3 and 4,,Consistent,Temperature,Jan-Mar monthly mean sea surface temperature,No but trend demonstrated,NA,Yes significant,Correlation / regression,NA,AR models,Areas / grouped,Authors discount other factors,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
43,1008,2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,Demersal Continental shelf Demersal/Benthic ,100000,100,study sites approx,1969,2008,40,40,Continuous,20000,Approx. estimate of data ponts,Bony fish,Taxa,Buglossidium luteum ,solenette,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Not exploited,2,NA,Distribution,Distribution,NA,NA,Range edge (popn/site),Range,Positive,1,65.59090909,km,Calculated from manuscript or supplementary material,Yes statistically significant,Positive,107.6865672,km,Calculated from manuscript or supplementary material,Yes statistically significant,see figs 1 and 3. Calculated rate of change using all years and northern most symbol for density of 50 in fig 1. calculated degree change using temp change on fig 3 (second quarter for consistency),,Consistent,Temperature,Jan-Mar monthly mean sea surface temperature,No but trend demonstrated,NA,Yes significant,Correlation / regression,NA,AR models,Areas / grouped,Authors discount other factors,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
45,1008,2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,Demersal Continental shelf Demersal/Benthic ,100000,100,study sites approx,1969,2008,40,40,Continuous,20000,Approx. estimate of data ponts,Bony fish,Taxa,Arnoglossus laterna,scaldfish,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Not exploited,2,NA,Abundance,Relative abundance in hauls,NA,NA,NA,NA,Positive,NA,NA,NA,NA,Not tested,Positive,NA,NA,NA,Not tested,see figs 3 and 4,,Consistent,Temperature,Jan-Mar monthly mean sea surface temperature,No but trend demonstrated,NA,Yes significant,Correlation / regression,NA,AR models,Areas / grouped,Authors discount other factors,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
46,1008,2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,Demersal Continental shelf Demersal/Benthic ,100000,100,study sites approx,1969,2008,40,40,Continuous,20000,Approx. estimate of data ponts,Bony fish,Taxa,Arnoglossus laterna,scaldfish,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Not exploited,2,NA,Distribution,Distribution,NA,NA,Range edge (popn/site),Range,Positive,1,95.86363636,km,Calculated from manuscript or supplementary material,Yes statistically significant,Positive,157.3880597,km,Calculated from manuscript or supplementary material,Yes statistically significant,see figs 2 and 3. Calculated rate of change using all years and northern most symbol for density of 50 in fig 2. calculated degree change using temp change on fig 3 (second quarter for consistency),,Consistent,Temperature,Jan-Mar monthly mean sea surface temperature,No but trend demonstrated,NA,Yes significant,Correlation / regression,NA,AR models,Areas / grouped,Authors discount other factors,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
48,1009,2006,"Sabates, A., P. Martin, J. Lloret and V. Raya. 2006. Sea warming and fish distribution: the case of the small pelagic fish, Sardinella aurita, in the western Mediterranean. Global Change Biology. 12: 2209-2219",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,40,1,Pelagic to 200m or over continental shelf (epipelagic) ,100000,NA,Not clear how many obs in fishery data,1950,2003,54,15,Continuous,NA,see fig 2,Bony fish,Taxa,Sardinella aurita,round sardinella,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Exploited,1,NA,Abundance,Annual landings,NA,NA,NA,NA,Positive,NA,70.71,%,Calculated from manuscript or supplementary material,Not tested,Positive,177,%,Calculated from manuscript or supplementary material,Yes statistically significant,see fig 2,,Consistent,Temperature,Annual SST  ,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,Not considered,Areas / grouped,Authors suggest other factors may have contributed to observed change,Competition,NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
53,1009,2006,"Sabates, A., P. Martin, J. Lloret and V. Raya. 2006. Sea warming and fish distribution: the case of the small pelagic fish, Sardinella aurita, in the western Mediterranean. Global Change Biology. 12: 2209-2219",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,40,1,Pelagic to 200m or over continental shelf (epipelagic) ,100000,NA,NA,1950,2004,55,15,Continuous,NA,fisheries catch database,Bony fish,Taxa,Sardinella aurita,round sardinella,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Exploited,1,NA,Distribution,Leading edge extension,NA,NA,Range edge (popn/site),Range,Positive,1,40,km,Given in manuscript or supplementary material,Yes statistically significant,Positive,NA,NA,NA,Not tested,in discussion,,Consistent,Temperature,Annual mean SST,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,NA,Areas / grouped,Authors suggest other factors may have contributed to observed change,Competition,NA,Temperature limitation,Demonstrated regional climate change plus demonstrated link to global climate change
