unique,paperID,year,full.ref,pubtype,ocean,ocean.reg,hemi,lat,long,depth,size,no.sites,notes.geo,yrstart,yrend,timespan,yrsdata,data.pattern,no.datapt,note.time,paper.gp,group,spp,comm.name,lifestage,trophic,range.sect,spp.type,other.attributes,fishing,no.spp,note.spp,obstype,detailobs,phen.type,phen.season,dist.type,dist.indice,dec.direct,dist.direct,dec.val,dec.unit,dec.source,dec.test,deg.direct,deg.val,deg.unit,deg.source,deg.test,note.bio,consistent with general expectation,consistent,cc.var,detailsccvar,cctest,other.ccvar,attribution,atrib.test,note.attrib,tempac,spatialac,alt.factor,prim.alt,note.cc,mechanism,cc.warm.global
54,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Limanda limanda,Dab,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
55,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Phrynorhombus norvegicus,Norwegian topknot,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
56,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Platichthys flesus,Flounder,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
57,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Pleuronectes platessa,Plaice,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,Negative,NA,NA,Calculated from manuscript or supplementary material,Yes statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
58,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Scophthalmus maximus,Turbot,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,NA,Exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,Negative,NA,NA,Calculated from manuscript or supplementary material,Yes statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
59,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Arnoglossus imperialis,Imperial scaldfish,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,Positive,NA,NA,Calculated from manuscript or supplementary material,Yes statistically significant,used r to determine if trend was positive or negative or no change (if |r|<0.1),,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Yes significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
60,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Dicologlossa cuneata,Wedge sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
61,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Microchirus variegatus,Thickback sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,By catch / Incidental capture,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Yes statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,Consistent,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
62,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Microstomus kitt,Lemon sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
63,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Bathysolea profundicola,Deepwater sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
64,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Buglossidium luteum ,Solenette,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
65,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Solea senegalensis,Senegalese sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,NA,By catch / Incidental capture,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
66,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Lepidorhombus whiffiagonis,Megrim,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,NA,Exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,No change,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,Exploitation direct,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
67,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Solea lascaris,Sand sole,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,NA,By catch / Incidental capture,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Negative,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Authors suggest other factors may have contributed to observed change,"Exploitation indirect (eg bycatch, reduction of predators or prey)",NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
68,1010,2010,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-3,Demersal Continental shelf Demersal/Benthic ,1000000,79,study sites the number of hauls in 1995 (from fig 1),1987,2006,20,17,Continuous,1360,NA,Bony fish,Taxa,Zeugopterus punctatus,Topknot,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,NA,Not exploited,15,NA,Abundance,Number of individuals per trawled surface in hectares,NA,NA,NA,NA,Positive,NA,NA,NA,Given in manuscript or supplementary material,Not statistically significant,No change,NA,NA,NA,Not statistically significant,NA,,No change,Temperature,Mean sea surface temperature,Yes statistically significant,NA,Not significant,Correlation / regression,NA,Adjust DF  ,Areas / grouped,Not mentioned,NA,NA,Temperature limitation,Demonstrated change in regional climate (eg warming or sea ice reduction)
