Full reference,Ocean Region,Taxa,Species,Range edge,Latitude,Longitude,Start Year,Timespan,Shift,Rate,Consistency,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Calanoides carinatus,Leading,62,-3,1958,48,expansion,231.6,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Calanus helgolandicus,Leading,62,3,1958,48,expansion,217.5,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Undeuchaeta major,Leading,48,-5,1958,48,expansion,138.75,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Euchaeta acuta,Leading,51,-19,1958,48,expansion,46.25,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Aetideus armatus,Trailing,63,0,1958,48,contraction,-161.88,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Heterohabdus norvegicus,Trailing,63,0,1958,48,contraction,-92.6,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Calanus hyperboreus,Trailing,63,0,1958,48,contraction,-46.25,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Isias clavipes,Leading,55,4,1958,48,expansion,46.25,Consistent,
"Beaugrand, G. et al. (2009). Rapid biogeographical plankton shifts in the North Atlantic Ocean. Global Change Biology 15: 1790-1803",North Atlantic HLSBS east,Zooplankton - holo,Centropages hamatus,Trailing,63,0,1958,48,contraction,-57.81,Consistent,
"Ben Rais Lasram, F. and D. Mouillot. (2009). Increasing southern invasion enhances congruence between endemic and exotic Mediterranean fish fauna. Biological Invasions 11:697-711",Mediterranean Sea,Bony fish,NA,Leading,35,18,1900,107,expansion,150,Consistent,
"Beukema, J.J. and R. Dekker (2005). Decline of recruitment success in cockles and other bivalves in the Wadden Sea: possible role of climate change, predation on postlarvae and fisheries. Marine Ecology Progress Series 287: 149-167",North Atlantic HLSBS east,Benthic molluscs,Cerastoderma edule,Centre,52.92,4.85,1973,30,contraction,-0.87,Consistent,
"Beukema, J.J. et al. (2009). Some like it cold: populations of the tellinid bivalve Macoma balthica (L.) suffer in various ways from a warming climate. Marine Ecology Progress Series 384: 135_145",North Atlantic HLSBS east,Benthic molluscs,Macoma balthica rubra,Trailing,44,-4,1960,48,contraction,-60.2,Consistent,
Bonnet et al. (2005). An overview of Calanus helgolandicus ecology in European waters. Progress in Oceanography 65: 1-53,North Atlantic HLSBS east,Zooplankton - holo,Calanus finmarchicus,Centre,48,-5,1958,45,expansion,9.87,Consistent,
Bonnet et al. (2005). An overview of Calanus helgolandicus ecology in European waters. Progress in Oceanography 65: 1-53,North Atlantic HLSBS east,Zooplankton - holo,Calanus helgolandicus,Centre,48,-5,1958,45,expansion,12.33,Consistent,
"Cubillos, J.C. et al. (2007). Calcification morphotypes of the coccolithophorid Emiliania huxleyi  in the Southern Ocean: changes in 2001 to 2006 compared to historical data. Marine Ecology Progress Series 348:47-54",Southern Ocean east,Zooplankton - holo,Emiliania huxleyi,Leading,-53,148,1983,24,expansion,693.75,Consistent,
